NU_INSCRICAO,NU_NOTA_MT
73ff9fcc02f0a99919906c942c2e1a1042cdcf98,450.84259754419327
71a95f9f1b91a82c65ad94abbdf9f54e6066f968,430.99965934455395
b38a03232f43b11c9d0788abaf060f7366053b6d,581.169073164463
70b682d9a3636be23f6120fa9d6b164eb3c6002d,-473939756.3452593
715494628a50142ce8cb17191cfe6d0f3cae0934,546.3684349805117
e656d6bad65c93fb2880f1eba5037008c8e75774,483.6373647302389
465cd2a6907fb37d9d8ad3c065f0e2dabdba9b13,555.2571234405041
11539e86171bf07d3a36f09377d7f54ebcc8406a,416.06531316041946
043c544a2104aa8a9849f1a703a08d37a2f16839,459.94302417337894
76ba050e64ad100b856f0eaabd8f539d5c7dd185,467.56355690956116
8b7c167ea7b55c8168ec60c3851b1b598a8fbd11,-473939758.8551626
db4da599aab5bb08dce27094a35fd3e36cd0abce,-473939755.0589111
940aede382ccb332fab15d413217695ec44ca765,457.79002000391483
9ad714b116da76d878dd399d187fccc2dd13dd63,579.106670498848
dd34464a4d780b12a089347ad580418ac57a3055,523.9403484910727
f837a4cb05a5fd59d20138182f5e8c721eadd584,499.8466069698334
fbfa8cde21a692b51fb86342110b4a334a0fcfdb,-473939746.1463059
ca8477c8493b09f34d17bb287f9bacf2dd744c32,-473939755.53066134
8b0c675d7fde14953668269d378c588f0df0498b,-473939752.1833359
051c4f04fcbe385e1b3964aeb87f0a41d7f203d0,368.04768204689026
3d203727f27abd83b71732d88d8cb1cc099f363b,440.7637645751238
d30d31c8ff45094e9a992c63d4a6f68b245a341a,-473939668.23137647
c0c6a803c271a955a7085a59cd3d4d43bcf7a1a6,-473939768.9519564
cbc301183dec912f3513ca766bf03dd565f3a38f,485.11974127590656
856aa14bcd11bd289a3b970aab0ce1b166f2c50f,586.1232068985701
11282da1ee78c8db45a041db4c744e33df489df0,428.4250828176737
03c67f683a415c2ea09b582248bd4cb08528c19d,573.9162232577801
046e844fb06a07ba30b41521f0065a8d9c6e5024,384.3889739662409
b296bc595a212a2f89a35470a4bdbb3bfc3f7f1a,436.27709616720676
153eebe4d270fe850d2ede7f53cbc81a6f4ddf91,-473939723.0067322
a4e821c6f16fdae0a26cbbb7018b75812dfd074b,-473939790.44628847
f66c2e5ff22a95fa532e78c7c4bf1d145247211d,441.9354757666588
17f0dd5abd53dea135ffd020e8e8e0761b3a56aa,576.9774274379015
fbbd23fcfb37cf90b8c1f58eafcab62771f3cd71,490.21866346895695
